"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"322" 264 485 397 "one_step_00" "0.8/0.9" "5000" "100" "50"
"323" 276 484 375 "one_step_00" "0.8/0.9" "5000" "100" "50"
"324" 288 484 367 "one_step_00" "0.8/0.9" "5000" "100" "50"
"325" 300 484 350 "one_step_00" "0.8/0.9" "5000" "100" "50"
"326" 312 483 342 "one_step_00" "0.8/0.9" "5000" "100" "50"
"327" 324 483 333 "one_step_00" "0.8/0.9" "5000" "100" "50"
"328" 336 483 321 "one_step_00" "0.8/0.9" "5000" "100" "50"
"329" 348 483 298 "one_step_00" "0.8/0.9" "5000" "100" "50"
"330" 360 482 318 "one_step_00" "0.8/0.9" "5000" "100" "50"
"331" 12 200 193 "one_step_00" "0.8/0.9" "5000" "100" "90"
"332" 24 200 195 "one_step_00" "0.8/0.9" "5000" "100" "90"
"333" 36 486 463 "one_step_00" "0.8/0.9" "5000" "100" "90"
"334" 48 486 461 "one_step_00" "0.8/0.9" "5000" "100" "90"
"335" 60 486 461 "one_step_00" "0.8/0.9" "5000" "100" "90"
"336" 72 486 459 "one_step_00" "0.8/0.9" "5000" "100" "90"
"337" 84 486 456 "one_step_00" "0.8/0.9" "5000" "100" "90"
"338" 96 486 458 "one_step_00" "0.8/0.9" "5000" "100" "90"
"339" 108 486 456 "one_step_00" "0.8/0.9" "5000" "100" "90"
"340" 120 486 441 "one_step_00" "0.8/0.9" "5000" "100" "90"
"341" 132 486 455 "one_step_00" "0.8/0.9" "5000" "100" "90"
"342" 144 486 447 "one_step_00" "0.8/0.9" "5000" "100" "90"
"343" 156 486 453 "one_step_00" "0.8/0.9" "5000" "100" "90"
"344" 168 486 444 "one_step_00" "0.8/0.9" "5000" "100" "90"
"345" 180 486 439 "one_step_00" "0.8/0.9" "5000" "100" "90"
"346" 192 486 439 "one_step_00" "0.8/0.9" "5000" "100" "90"
"347" 204 486 450 "one_step_00" "0.8/0.9" "5000" "100" "90"
"348" 216 486 451 "one_step_00" "0.8/0.9" "5000" "100" "90"
"349" 228 486 444 "one_step_00" "0.8/0.9" "5000" "100" "90"
"350" 240 486 432 "one_step_00" "0.8/0.9" "5000" "100" "90"
"351" 252 486 437 "one_step_00" "0.8/0.9" "5000" "100" "90"
"352" 264 486 444 "one_step_00" "0.8/0.9" "5000" "100" "90"
"353" 276 486 428 "one_step_00" "0.8/0.9" "5000" "100" "90"
"354" 288 486 434 "one_step_00" "0.8/0.9" "5000" "100" "90"
"355" 300 486 440 "one_step_00" "0.8/0.9" "5000" "100" "90"
"356" 312 486 432 "one_step_00" "0.8/0.9" "5000" "100" "90"
"357" 324 486 421 "one_step_00" "0.8/0.9" "5000" "100" "90"
"358" 336 486 434 "one_step_00" "0.8/0.9" "5000" "100" "90"
"359" 348 486 433 "one_step_00" "0.8/0.9" "5000" "100" "90"
"360" 360 486 431 "one_step_00" "0.8/0.9" "5000" "100" "90"
"361" 12 573 543 "one_step_01" "0.99/0.99" "2500" "50" "0"
"362" 24 573 528 "one_step_01" "0.99/0.99" "2500" "50" "0"
"363" 36 1145 958 "one_step_01" "0.99/0.99" "2500" "50" "0"
"364" 48 1144 983 "one_step_01" "0.99/0.99" "2500" "50" "0"
"365" 60 1144 1009 "one_step_01" "0.99/0.99" "2500" "50" "0"
"366" 72 1144 984 "one_step_01" "0.99/0.99" "2500" "50" "0"
"367" 84 1144 989 "one_step_01" "0.99/0.99" "2500" "50" "0"
"368" 96 1143 976 "one_step_01" "0.99/0.99" "2500" "50" "0"
"369" 108 1143 955 "one_step_01" "0.99/0.99" "2500" "50" "0"
"370" 120 1143 936 "one_step_01" "0.99/0.99" "2500" "50" "0"
"371" 132 1143 928 "one_step_01" "0.99/0.99" "2500" "50" "0"
"372" 144 1143 935 "one_step_01" "0.99/0.99" "2500" "50" "0"
